TARGET_AMT,TARGET_FLAG
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3619.7636970628328,1
0,0
0,0
4033.8877675120234,1
3265.212218559496,1
0,0
4204.139516236602,1
3813.0563116390167,1
0,0
0,0
0,0
0,0
0,0
3773.0852980438563,1
0,0
0,0
0,0
0,0
0,0
4135.672385577946,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3855.9724339324057,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3735.1674222715633,1
0,0
0,0
0,0
0,0
0,0
4442.419434908259,1
3665.4512965422814,1
3905.237829936595,1
0,0
0,0
0,0
0,0
0,0
3620.3278461532273,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4505.928529038956,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3588.250666022614,1
0,0
0,0
0,0
0,0
0,0
4426.628128501464,1
0,0
3617.5413730868563,1
0,0
0,0
0,0
3904.2853666734436,1
0,0
0,0
4073.4130507515374,1
0,0
0,0
0,0
4285.925351145,1
0,0
0,0
0,0
4225.743141855648,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4517.713380253409,1
4843.04106650965,1
0,0
0,0
0,0
4094.723345004013,1
0,0
0,0
0,0
3805.2524089010776,1
0,0
0,0
0,0
0,0
4484.2873211644455,1
0,0
4292.980655546604,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4664.0820297378295,1
0,0
0,0
0,0
3646.6064641201942,1
3769.2105192068316,1
3694.937107153501,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3979.991029000154,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3448.6586631746995,1
0,0
0,0
0,0
0,0
0,0
0,0
3591.606898373059,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4108.574791955924,1
0,0
0,0
0,0
0,0
0,0
0,0
3926.9066002133795,1
0,0
0,0
4261.141091533918,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4133.865982840148,1
0,0
0,0
0,0
0,0
0,0
0,0
3752.9004280125323,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4026.7439050707494,1
0,0
