Id,SalePrice
1461,117204.95744804796
1462,149984.96095286042
1463,177931.21658647995
1464,175415.69375226847
1465,145857.12766750663
1466,180585.63437706864
1467,138332.518029387
1468,162064.18804642113
1469,151013.5412102035
1470,116274.13248720762
1471,150669.89973828488
1472,123439.64378609361
1473,131046.73698351676
1474,161235.5950351708
1475,113267.44255579474
1476,265847.49210846366
1477,169522.5820484342
1478,185062.8167181406
1479,198605.07136417407
1480,326717.6409012099
1481,253428.42599020613
1482,153528.49299580313
1483,149558.45628857368
1484,135062.77286283908
1485,153878.6542251277
1486,188788.85475990866
1487,288077.0437320111
1488,174518.8378851035
1489,140796.56965444167
1490,162341.33089548993
1491,180997.50637879252
1492,125209.81175652261
1493,164763.17527526684
1494,268128.38319564116
1495,249845.55276173705
1496,164201.10080457377
1497,183175.2959808221
1498,139360.5359353028
1499,139360.5359353028
1500,142247.4009116975
1501,166460.9692294858
1502,130154.1542033881
1503,157783.54030209128
1504,201567.9063565037
1505,164575.60366194078
1506,199398.44665375573
1507,291377.23238067713
1508,206565.29318618818
1509,179560.05014438403
1510,141923.70738173855
1511,140076.71257170185
1512,166271.46479378847
1513,193359.25881918415
1514,188252.0054210889
1515,285789.1771708231
1516,170685.14914823594
1517,133761.380930094
1518,175415.69375226847
1519,163454.6497699228
1520,134909.0131276079
1521,139837.57901898198
1522,173034.2562935076
1523,150669.89973828488
1524,128973.49372854063
1525,122389.57821690459
1526,123509.96763457921
1527,123299.11618886402
1528,141278.52840487723
1529,137390.31049055755
1530,155730.1456619462
1531,201109.22502583056
1532,119905.7213269679
1533,151530.4735317732
1534,143467.8405943908
1535,178337.03450548206
1536,142978.41320608728
1537,113009.69487059754
1538,171660.04304907323
1539,256039.86661554343
1540,254295.93325842204
1541,162526.35604300883
1542,176216.7674829929
1543,228474.62317824233
1544,108778.57838245634
1545,134066.4581745106
1546,139043.41166080136
1547,160960.3398556496
1548,157603.91452611727
1549,127222.55398887167
1550,168751.93979240354
1551,129267.65096432793
1552,215089.43054693317
1553,171074.44054611857
1554,149558.45628857368
1555,182654.4096358073
1556,141278.52840487723
1557,155464.28917292657
1558,118750.37455659345
1559,205743.4021331269
1560,183175.2959808221
1561,199739.43409997478
1562,116938.24968283123
1563,115088.21172702819
1564,153791.03911703447
1565,159772.9871348567
1566,163734.17042082566
1567,108222.42115297864
1568,217429.60851666893
1569,176016.15673780232
1570,129710.14523591008
1571,168272.0684174891
1572,137155.76305969837
1573,166082.17609593863
1574,147360.1051934005
1575,159137.2753624601
1576,196355.63616730444
1577,141117.69245681443
1578,160228.62117876924
1579,121902.6091923754
1580,184431.49188127683
1581,126212.17071317114
1582,115877.47394160814
1583,217058.42108803432
1584,232411.92781929395
1585,114044.21813697596
1586,101303.5966448438
1587,123791.66389340922
1588,139043.41166080136
1589,133153.3075328855
1590,131345.622783968
1591,121555.96089457966
1592,147192.34578584545
1593,114565.02574167956
1594,318269.1698586871
1595,181720.54405376437
1596,237091.28858863888
1597,243107.81164988584
1598,180277.34555785
1599,126788.54590682274
1600,138648.02092805752
1601,95695.17773364621
1602,132171.0783569063
1603,121003.37280392039
1604,179662.34591722587
1605,209527.5122479517
1606,146273.0770348204
1607,225886.88030018524
1608,151444.1954259192
1609,140476.1775886081
1610,160137.39053969912
1611,144534.02164245624
1612,158865.60235322875
1613,151271.78656078628
1614,120521.91927431808
1615,131046.73698351676
1616,131046.73698351676
1617,131046.73698351676
1618,115745.55535786477
1619,113074.07675323854
1620,281107.6617895026
1621,145359.54944534897
1622,163361.58230140322
1623,196467.5004240663
1624,195797.26955406304
1625,116274.13248720762
1626,159227.93623361716
1627,175815.77437423353
1628,258236.6112419216
1629,177829.9064804559
1630,295892.5379532946
1631,163268.5678234453
1632,188896.40820392952
1633,154581.3744035914
1634,178642.00523611117
1635,166840.62629823267
1636,138569.0778062733
1637,211686.5780886215
1638,226144.33016288863
1639,182238.76723926017
1640,322465.73825418524
1641,186013.85830757068
1642,205743.4021331269
1643,204574.94158567255
1644,197364.71178619834
1645,177122.34904499035
1646,132850.30822418258
1647,138806.04211948148
1648,137782.11453632117
1649,127949.20474057226
1650,115088.21172702819
1651,115088.21172702819
1652,123439.64378609361
1653,123439.64378609361
1654,169909.2219129311
1655,128314.08502864082
1656,161235.5950351708
1657,169909.2219129311
